split,family,model,n,prevalence,ap,roc_auc,brier,ece15,top1_high_risk_recall,top1_exposure_capture,top1_exposure_ndcg,top2_high_risk_recall,top2_exposure_capture,top2_exposure_ndcg,top5_high_risk_recall,top5_exposure_capture,top5_exposure_ndcg,top10_high_risk_recall,top10_exposure_capture,top10_exposure_ndcg,top20_high_risk_recall,top20_exposure_capture,top20_exposure_ndcg,top30_high_risk_recall,top30_exposure_capture,top30_exposure_ndcg
validation_2023,reference,prior,1487,0.09347679892400806,0.09347679892400806,0.5,0.08478143913920645,0.006523201075991927,0.007194244604316547,0.0032458974386859792,0.008569849307975176,0.02877697841726619,0.013403917045715608,0.022322947977120942,0.07913669064748201,0.055278878465860104,0.06029780936114035,0.11510791366906475,0.08388883927250869,0.07445666439445342,0.19424460431654678,0.189808570059911,0.1300777432462043,0.302158273381295,0.311399698931712,0.18855155519036623
test_2024,reference,prior,5875,0.09940425531914894,0.09940425531914894,0.5,0.08952340425531916,0.0005957446808510652,0.015410958904109588,0.011566923577674644,0.033649637338669304,0.023972602739726026,0.018884614848144674,0.03956348534201598,0.05821917808219178,0.05080572643720748,0.06671755609597073,0.10445205479452055,0.10052125546689744,0.0994953828599772,0.18835616438356165,0.18857084662440643,0.14892066898006426,0.2893835616438356,0.29319303117699697,0.2047145294206208
validation_2023,general,fused_logistic,1487,0.09347679892400806,0.5705254409543448,0.8686570031808382,0.13004285456284298,0.19565224522714103,0.1079136690647482,0.14416532381353775,0.4878965551221109,0.2014388489208633,0.2105969754665022,0.5078952647812466,0.38848920863309355,0.33410421951308783,0.5387605702642702,0.5251798561151079,0.4483876925904966,0.5630242521819316,0.6762589928057554,0.5902729816556109,0.5980524507850766,0.8057553956834532,0.7019520757169362,0.6337491723151396
test_2024,general,fused_logistic,5875,0.09940425531914894,0.598869037694975,0.8842799416429554,0.13290064901927315,0.19520540352322738,0.0958904109589041,0.09918445389791525,0.32642907600141524,0.1832191780821918,0.19096497759641834,0.4178098734227638,0.3835616438356164,0.34345785314214494,0.5064692044230276,0.553082191780822,0.48027511776819815,0.5555053006696266,0.7482876712328768,0.6582851435296129,0.6207441155882675,0.8373287671232876,0.7482766391293003,0.6472560410508951
validation_2023,general,random_forest,1487,0.09347679892400806,0.5352154795956299,0.8653800994812457,0.06479588609522814,0.05045788797110608,0.10071942446043165,0.06719180165865059,0.21919668538152598,0.18705035971223022,0.18975979874556015,0.3706086418444141,0.3669064748201439,0.322491020617985,0.43548760268888087,0.5179856115107914,0.4590380707010674,0.48647259397271786,0.6618705035971223,0.6077573208482323,0.5325194397584252,0.8273381294964028,0.7249877668566159,0.5735561177648258
test_2024,general,random_forest,5875,0.09940425531914894,0.5790762572187411,0.8856645945687043,0.0622276096744116,0.042310842247011676,0.09417808219178082,0.09573198419469514,0.27243440203677305,0.17123287671232876,0.15396106016883057,0.32082611780532744,0.3544520547945205,0.3007738614966695,0.4204691510408119,0.565068493150685,0.4991479549812918,0.5318365184376082,0.7482876712328768,0.6641357915033655,0.5909270977828563,0.8441780821917808,0.7683367637905208,0.6272719737262612
validation_2023,general,extra_trees,1487,0.09347679892400806,0.5338424967128946,0.8713254915355549,0.06745894420041582,0.07026834818880007,0.09352517985611511,0.11340538004166277,0.40522399734082865,0.18705035971223022,0.17942214652276917,0.43885753893317947,0.35251798561151076,0.30827398844385273,0.4883611417988242,0.5179856115107914,0.45800425842306086,0.544818770490319,0.6690647482014388,0.6083805487889712,0.5863908981809077,0.8129496402877698,0.7087449939378216,0.6171206792629501
test_2024,general,extra_trees,5875,0.09940425531914894,0.5936472381667004,0.8903675924223869,0.06449976818220707,0.06477121841073873,0.09246575342465753,0.09471049631614602,0.284756131439402,0.1695205479452055,0.16289519274387138,0.34605365267685917,0.3664383561643836,0.3075549767682254,0.4400534586476455,0.5616438356164384,0.47714542966085205,0.52610980528694,0.7568493150684932,0.6655954624455224,0.6016156591636868,0.8613013698630136,0.7749624554727522,0.640632370951533
validation_2023,general,hist_gradient_boosting,1487,0.09347679892400806,0.5440755042354073,0.8614574215998121,0.06226224164697564,0.049052578513608294,0.09352517985611511,0.11266677142103694,0.34101215258166107,0.19424460431654678,0.2040041826326856,0.4216329420990947,0.381294964028777,0.3367761993655396,0.47754810027928074,0.5251798561151079,0.46398456975047836,0.5178331028866896,0.6690647482014388,0.6067171469844634,0.55731668220124,0.7841726618705036,0.7037617041688087,0.5871800627042683
test_2024,general,hist_gradient_boosting,5875,0.09940425531914894,0.5840233569615533,0.8837668255476474,0.06455230638040663,0.049762700130639215,0.09246575342465753,0.0974775278885704,0.311406732131691,0.1695205479452055,0.18946651791235306,0.40777748889453125,0.3578767123287671,0.323643306357559,0.47743241326795055,0.5616438356164384,0.4685630524876871,0.5379455263891392,0.7585616438356164,0.6535003506859474,0.6094331044963156,0.8476027397260274,0.7622087523865876,0.6475629260464245
validation_2023,general,lightgbm,1487,0.09347679892400806,0.5494132549770085,0.8652199901799629,0.0643921818833838,0.05351944494496936,0.09352517985611511,0.1150495667366848,0.3592060919229503,0.19424460431654678,0.20638434556498259,0.4402770684476123,0.37410071942446044,0.337145421439279,0.49017887469665367,0.5251798561151079,0.4683702038823695,0.5311337315308946,0.6690647482014388,0.609714708762864,0.5684108603884637,0.7985611510791367,0.7092695835189426,0.5990281832738804
test_2024,general,lightgbm,5875,0.09940425531914894,0.5865606618975829,0.8863827305608126,0.06574511699053462,0.054426310734276576,0.09417808219178082,0.08976907025399004,0.2927569252302222,0.1695205479452055,0.17368213957056677,0.3788913159905006,0.3578767123287671,0.3108785676821074,0.4587766260704928,0.5565068493150684,0.46674399036305225,0.5316229544777269,0.7534246575342466,0.6641483389803192,0.6121445864957278,0.8493150684931506,0.7627415785729406,0.6441954835110958
validation_2023,general,catboost,1487,0.09347679892400806,0.5384597789981689,0.8768919582434942,0.06046866615741446,0.03286711693424333,0.09352517985611511,0.10436366571477657,0.3394146835503362,0.18705035971223022,0.19982318279824127,0.43065777195506316,0.381294964028777,0.340351141766252,0.4926666067805168,0.5107913669064749,0.4595788491587903,0.5244709668335413,0.6906474820143885,0.6193447084587257,0.573228830493866,0.8201438848920863,0.73400706970439,0.611454296992838
test_2024,general,catboost,5875,0.09940425531914894,0.5983583434128923,0.8925669850327385,0.06117557761446467,0.0343278795788454,0.09931506849315068,0.09559654251829117,0.30464842998177677,0.17123287671232876,0.17613137737462228,0.3838196267533101,0.3664383561643836,0.31642715330187904,0.4659591694302982,0.5633561643835616,0.4653893265914705,0.531142398044538,0.7517123287671232,0.6496229533947082,0.6031572888830341,0.8544520547945206,0.7771040998932373,0.6532469377243104
validation_2023,general,mlp,1487,0.09347679892400806,0.5288053140023666,0.8441976389215038,0.06138001620898696,0.025954046807003184,0.1079136690647482,0.12052346706810253,0.4573549242285271,0.18705035971223022,0.19005724520385417,0.4872943232489582,0.3669064748201439,0.33213231480883404,0.5403617246093103,0.49640287769784175,0.4447065579271107,0.5619884355449991,0.6690647482014388,0.5848286237240874,0.5959388463768744,0.7697841726618705,0.6921315644877686,0.6294426005566742
test_2024,general,mlp,5875,0.09940425531914894,0.564260170070411,0.8703685244781135,0.061869257314971074,0.016982309643296518,0.09417808219178082,0.09973594696437404,0.31787694043565273,0.17465753424657535,0.1886186202906422,0.40802115112506365,0.3544520547945205,0.3175824406460753,0.4726853164290934,0.5273972602739726,0.46519006411639446,0.5359077154144167,0.7328767123287672,0.6462326132392311,0.6044929740980781,0.8236301369863014,0.7424117428040059,0.635511924460766
validation_2023,general,xgboost,1487,0.09347679892400806,0.5557863239960752,0.8692440706188758,0.06102299578915238,0.04222697810843534,0.09352517985611511,0.09140084618716036,0.3781178146391716,0.19424460431654678,0.20676015899386724,0.4903763026790588,0.3669064748201439,0.3279655837060772,0.5222991598453137,0.5251798561151079,0.46713894404736933,0.5658712807526561,0.697841726618705,0.6039334067078472,0.5973947065632645,0.7913669064748201,0.7326111492473324,0.6419774803695565
test_2024,general,xgboost,5875,0.09940425531914894,0.5803503565363299,0.8843885196624922,0.06292641071859459,0.04084991865923771,0.09075342465753425,0.09796332842937919,0.31483441861516576,0.1695205479452055,0.17180300396025186,0.3802714276272602,0.3595890410958904,0.32821924872212477,0.47980545803076874,0.5496575342465754,0.46589533018769297,0.5341173902660655,0.7585616438356164,0.6633639732871988,0.6145882302860501,0.8493150684931506,0.7602549050074395,0.6456140333873535
validation_2023,general_native_categorical,native_catboost,1487,0.09347679892400806,0.5587814989346924,0.8791921952052599,0.05967026104440777,0.03479791874325555,0.09352517985611511,0.11519341559330099,0.4114091914088813,0.19424460431654678,0.20709187211415278,0.4825689595579045,0.381294964028777,0.3419671901110692,0.5294198012154524,0.5323741007194245,0.4692347525566464,0.5635108457343491,0.7266187050359713,0.6363512700958046,0.6130302075335221,0.8129496402877698,0.7435657449976322,0.6458907354213441
test_2024,general_native_categorical,native_catboost,5875,0.09940425531914894,0.6006887247828626,0.8920265221635084,0.061421038653978854,0.03759934715980071,0.0958904109589041,0.0887458265292831,0.28186120810421766,0.17465753424657535,0.17189389844316333,0.3699831981446437,0.3681506849315068,0.3292200308378045,0.4728980058540199,0.5616438356164384,0.46550869344296925,0.5271309014942988,0.7568493150684932,0.6595966638655998,0.6062183597158729,0.8613013698630136,0.7699329494050089,0.6456188993631585
validation_2023,same_task_duration,text_structured_lgbm_duration,1487,0.09347679892400806,0.5722772313286676,0.8708238157248682,0.06001995509493892,0.024170408294692986,0.10071942446043165,0.13659217814218436,0.41336090829888855,0.18705035971223022,0.20761951651133767,0.4538238116375698,0.4028776978417266,0.3604877458971198,0.5231360797337626,0.5179856115107914,0.4674853344434212,0.5425978507314297,0.697841726618705,0.6185822375748369,0.5845700349500703,0.8345323741007195,0.7322081819558525,0.6216685411606249
test_2024,same_task_duration,text_structured_lgbm_duration,5875,0.09940425531914894,0.5993661475614889,0.8754644097109849,0.060342345076550404,0.020476407624976194,0.09075342465753425,0.0957114092702311,0.3277558625807429,0.1815068493150685,0.2087238465110307,0.4536869072257329,0.3732876712328767,0.33542537163100095,0.5074003908692404,0.571917808219178,0.49130175715733265,0.5730149556036442,0.7414383561643836,0.661081377586169,0.6314011083356842,0.8321917808219178,0.7681140849207565,0.6674274988350031
