split,model,budget_fraction,high_risk_recall,exposure_capture,exposure_ndcg
validation_2023,prior,0.01,0.012955465587044534,0.013509480771899424,0.028556419297054797
validation_2023,prior,0.02,0.02564102564102564,0.025359930065223517,0.04086199098465928
validation_2023,prior,0.05,0.05425101214574899,0.06038727164994773,0.06776976879976121
validation_2023,prior,0.1,0.11147098515519568,0.12055601593394244,0.10511594763695928
validation_2023,prior,0.2,0.1951417004048583,0.21175885963287225,0.15045917869412617
validation_2023,prior,0.3,0.2977058029689609,0.31034851090266574,0.1980403956060337
test_2024,prior,0.01,0.00980392156862745,0.013028368964362198,0.038980132285626294
test_2024,prior,0.02,0.0213903743315508,0.025780201989864488,0.055800171829835495
test_2024,prior,0.05,0.0481283422459893,0.04882379664615337,0.07187118971963488
test_2024,prior,0.1,0.107174688057041,0.10631094486034012,0.11394451714800342
test_2024,prior,0.2,0.2161319073083779,0.202733522355432,0.1702843077256026
test_2024,prior,0.3,0.31483957219251335,0.30719210116104445,0.22884719380670462
validation_2023,fused_logistic,0.01,0.042105263157894736,0.11393431620072922,0.29297072405256946
validation_2023,fused_logistic,0.02,0.08609986504723346,0.18380032684741152,0.34875049782065937
validation_2023,fused_logistic,0.05,0.1902834008097166,0.29849086277295195,0.4017062861234596
validation_2023,fused_logistic,0.1,0.30337381916329287,0.4222607930265388,0.4450848414976778
validation_2023,fused_logistic,0.2,0.5368421052631579,0.6121895782665624,0.51596315357418
validation_2023,fused_logistic,0.3,0.7147098515519568,0.7521259859834247,0.568854921992909
test_2024,fused_logistic,0.01,0.0392156862745098,0.08978787393057723,0.32631297509481333
test_2024,fused_logistic,0.02,0.08288770053475936,0.15869302571755747,0.3941116249821414
test_2024,fused_logistic,0.05,0.1804812834224599,0.2837176115407604,0.4613201394421175
test_2024,fused_logistic,0.1,0.2936720142602496,0.41052620146760843,0.5032951832802819
test_2024,fused_logistic,0.2,0.517602495543672,0.5940045737815804,0.5718953537005081
test_2024,fused_logistic,0.3,0.7049910873440285,0.7390239254984143,0.6332129885082213
validation_2023,random_forest,0.01,0.058029689608636977,0.0955617914497545,0.251875915486889
validation_2023,random_forest,0.02,0.11012145748987855,0.1907752606319776,0.3505316228124121
validation_2023,random_forest,0.05,0.2388663967611336,0.33432181228790847,0.43076952809444613
validation_2023,random_forest,0.1,0.3719298245614035,0.4654225234121,0.4757185133139253
validation_2023,random_forest,0.2,0.5805668016194332,0.6417871460638689,0.534518762480546
validation_2023,random_forest,0.3,0.7470985155195682,0.7662762780858383,0.577895575131008
test_2024,random_forest,0.01,0.05459001782531194,0.08547706340676109,0.29650912076365105
test_2024,random_forest,0.02,0.10338680926916222,0.14217357352487162,0.34660577356805516
test_2024,random_forest,0.05,0.20989304812834225,0.27789655208832453,0.43795442867096385
test_2024,random_forest,0.1,0.3536096256684492,0.4261079973395512,0.5042959809528558
test_2024,random_forest,0.2,0.5706327985739751,0.6200508036428786,0.5804648530161294
test_2024,random_forest,0.3,0.7404188948306596,0.7502293919882351,0.6315796596579125
validation_2023,extra_trees,0.01,0.05452091767881242,0.15104410673911592,0.3626283526907116
validation_2023,extra_trees,0.02,0.10580296896086369,0.21807236195816768,0.4051931469282973
validation_2023,extra_trees,0.05,0.22591093117408906,0.3378983890245405,0.45279544524206816
validation_2023,extra_trees,0.1,0.37732793522267205,0.47736029977236866,0.5011475054136605
validation_2023,extra_trees,0.2,0.5748987854251012,0.6396231582921795,0.548179870695398
validation_2023,extra_trees,0.3,0.7336032388663968,0.7651443959367531,0.5914356628826384
test_2024,extra_trees,0.01,0.049910873440285206,0.09807910255359038,0.400455649515242
test_2024,extra_trees,0.02,0.09670231729055258,0.17259454144708392,0.4648036081582602
test_2024,extra_trees,0.05,0.20320855614973263,0.2920466964027896,0.5072493665405833
test_2024,extra_trees,0.1,0.3511586452762923,0.4261941141983558,0.548779616339318
test_2024,extra_trees,0.2,0.5577094474153298,0.6168208400634636,0.6165482231111334
test_2024,extra_trees,0.3,0.7212566844919787,0.7469855180024999,0.6654574671304709
validation_2023,hist_gradient_boosting,0.01,0.057219973009446694,0.09864229093600749,0.21951224308843123
validation_2023,hist_gradient_boosting,0.02,0.10958164642375169,0.19193108530343111,0.3188880175859719
validation_2023,hist_gradient_boosting,0.05,0.2475033738191633,0.3499474444403034,0.4192688441809541
validation_2023,hist_gradient_boosting,0.1,0.3781376518218624,0.46765406220437034,0.4554688091758025
validation_2023,hist_gradient_boosting,0.2,0.5865047233468286,0.6421778309998808,0.5152635746570748
validation_2023,hist_gradient_boosting,0.3,0.755195681511471,0.7724438768671243,0.5627954574675994
test_2024,hist_gradient_boosting,0.01,0.05459001782531194,0.08302191412345171,0.27470520764424955
test_2024,hist_gradient_boosting,0.02,0.10026737967914438,0.14915391757443852,0.3466337278656415
test_2024,hist_gradient_boosting,0.05,0.22571301247771836,0.3128141027309196,0.4725742311997409
test_2024,hist_gradient_boosting,0.1,0.35650623885918004,0.43315459302019044,0.5068955435984657
test_2024,hist_gradient_boosting,0.2,0.5739750445632799,0.62062327681518,0.5778537547405892
test_2024,hist_gradient_boosting,0.3,0.7575757575757576,0.7631047623546253,0.6371693013269957
validation_2023,lightgbm,0.01,0.05775978407557355,0.1299448160498876,0.2598295860800236
validation_2023,lightgbm,0.02,0.10796221322537113,0.19964745512170304,0.3201815821200822
validation_2023,lightgbm,0.05,0.250472334682861,0.347291761527213,0.410078731011762
validation_2023,lightgbm,0.1,0.3678812415654521,0.46170432947107837,0.4447559470365765
validation_2023,lightgbm,0.2,0.5827260458839406,0.6424899656396481,0.5095931717294879
validation_2023,lightgbm,0.3,0.7508771929824561,0.7704011805856573,0.556065528429668
test_2024,lightgbm,0.01,0.05459001782531194,0.07629161238147122,0.23273021932585275
test_2024,lightgbm,0.02,0.09803921568627451,0.14441252820891837,0.31713491823688816
test_2024,lightgbm,0.05,0.22237076648841356,0.3025230608842126,0.4434659587032754
test_2024,lightgbm,0.1,0.3480392156862745,0.42533173269617514,0.4852325037933359
test_2024,lightgbm,0.2,0.571078431372549,0.6214769438213249,0.5653476471345849
test_2024,lightgbm,0.3,0.7540106951871658,0.7603721223855348,0.62298768418551
validation_2023,catboost,0.01,0.058029689608636977,0.10783191810580393,0.23916632041292393
validation_2023,catboost,0.02,0.11309041835357625,0.1930708998157252,0.3247098903886302
validation_2023,catboost,0.05,0.25101214574898784,0.3472009560654588,0.4198518528647262
validation_2023,catboost,0.1,0.3767881241565452,0.4667619180650588,0.4574972626858894
validation_2023,catboost,0.2,0.5867746288798921,0.6451879610839366,0.519500768773906
validation_2023,catboost,0.3,0.757085020242915,0.7750072400522597,0.5666172659190878
test_2024,catboost,0.01,0.05481283422459893,0.08197429567622574,0.27729813764685035
test_2024,catboost,0.02,0.10316399286987522,0.13623041275686748,0.3264031582451493
test_2024,catboost,0.05,0.22459893048128343,0.30215959833834666,0.4614614885704619
test_2024,catboost,0.1,0.3560606060606061,0.4309772432349555,0.5056803075753847
test_2024,catboost,0.2,0.5746434937611408,0.6231767349615757,0.5801916995023525
test_2024,catboost,0.3,0.7577985739750446,0.7613456298853003,0.6364930989912254
validation_2023,mlp,0.01,0.05641025641025641,0.101973227037456,0.2218641565555291
validation_2023,mlp,0.02,0.10337381916329284,0.16908938077921498,0.2839690122728219
