split,target,model,n,prevalence,ap,auc,brier,log_loss,ece10,top20_recall,top20_burden_capture,ndcg20,fit_seconds
validation_2023,high_exposure_v2,prior,22109,0.1675788140576236,0.1675788140576236,0.5,0.1398052438597889,0.4532016074968558,0.017580919291234343,0.1951417004048583,0.21175885963287225,0.15045917869412617,0.0
test_2024,high_exposure_v2,prior,25534,0.17576564580559254,0.17576564580559254,0.5,0.14493910777420507,0.4651488105239783,0.008186831747968915,0.2161319073083779,0.202733522355432,0.1702843077256026,0.0
validation_2023,high_exposure_v2,fused_logistic,22109,0.1675788140576236,0.48657264220793517,0.8415130885998203,0.18011509620246383,0.532783539527129,0.21510453462855136,0.5368421052631579,0.6121895782665624,0.51596315357418,4.846204519271851
test_2024,high_exposure_v2,fused_logistic,25534,0.17576564580559254,0.48804655454320184,0.8387656608823757,0.114017672474511,0.35207302363291704,0.018497065322171168,0.517602495543672,0.5940045737815804,0.5718953537005081,4.846204519271851
validation_2023,high_exposure_v2,random_forest,22109,0.1675788140576236,0.5872156717665143,0.8616551336460623,0.1322564257171637,0.3953908804839465,0.12705133826269693,0.5805668016194332,0.6417871460638689,0.534518762480546,13.75084400177002
test_2024,high_exposure_v2,random_forest,25534,0.17576564580559254,0.577911238029176,0.8616123721351904,0.10682592901754943,0.33668765433948644,0.024066009594099873,0.5706327985739751,0.6200508036428786,0.5804648530161294,13.75084400177002
validation_2023,high_exposure_v2,extra_trees,22109,0.1675788140576236,0.5718379238444384,0.858843475909274,0.13956781130735965,0.41392435960224694,0.15280823042805866,0.5748987854251012,0.6396231582921795,0.548179870695398,13.188840866088867
test_2024,high_exposure_v2,extra_trees,25534,0.17576564580559254,0.5564591391986209,0.854572650723659,0.1083948816832788,0.3395928048109863,0.02299516196128987,0.5577094474153298,0.6168208400634636,0.6165482231111334,13.188840866088867
validation_2023,high_exposure_v2,hist_gradient_boosting,22109,0.1675788140576236,0.5982238812938847,0.8670462414877245,0.1601901106372513,0.47007197023437225,0.1879172885604298,0.5865047233468286,0.6421778309998808,0.5152635746570748,4.291344404220581
test_2024,high_exposure_v2,hist_gradient_boosting,25534,0.17576564580559254,0.5870234771739993,0.8653932793085616,0.10552660657455835,0.3304665029413563,0.02851761362637127,0.5739750445632799,0.62062327681518,0.5778537547405892,4.291344404220581
validation_2023,high_exposure_v2,lightgbm,22109,0.1675788140576236,0.5917409287448766,0.8648134126213834,0.30931310599477185,0.9707219099837743,0.3904687236791755,0.5827260458839406,0.6424899656396481,0.5095931717294879,3.622304916381836
test_2024,high_exposure_v2,lightgbm,25534,0.17576564580559254,0.5785444912848547,0.8636359666195922,0.10946135865812424,0.3354739760702406,0.03048321470095957,0.571078431372549,0.6214769438213249,0.5653476471345849,3.622304916381836
validation_2023,high_exposure_v2,catboost,22109,0.1675788140576236,0.6047978776937277,0.8682569373377436,0.15847211862761038,0.4656321624094109,0.1872063671159021,0.5867746288798921,0.6451879610839366,0.519500768773906,20.343605756759644
test_2024,high_exposure_v2,catboost,25534,0.17576564580559254,0.5913042015531379,0.8662506132056375,0.10537427378931312,0.3294361754328726,0.030269178743616242,0.5746434937611408,0.6231767349615757,0.5801916995023525,20.343605756759644
validation_2023,high_exposure_v2,mlp,22109,0.1675788140576236,0.5787549985994656,0.8618522831831723,0.17023189386648824,0.5021325421847408,0.19713272625430805,0.5867746288798921,0.6394559981786292,0.505636773900588,20.068554878234863
test_2024,high_exposure_v2,mlp,25534,0.17576564580559254,0.5687523230757923,0.8593632403632276,0.10731516097285501,0.33691526991289455,0.018327735236470855,0.5728609625668449,0.6199648081361873,0.5735741749224562,20.068554878234863
validation_2023,high_exposure_v2,xgboost,22109,0.1675788140576236,0.5945529097648002,0.8649530143801983,0.14797714982036217,0.437020556108946,0.15681453397714704,0.5875843454790823,0.6456078206076724,0.5181320448639283,4.134841442108154
test_2024,high_exposure_v2,xgboost,25534,0.17576564580559254,0.5861771939264446,0.8634512214819147,0.10623950382689246,0.33440382744113745,0.028430508256224663,0.571524064171123,0.6170825178730276,0.5730654660208242,4.134841442108154
